Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,cluster
47,5,2,338.43,6,2
28,3,1,787.17,1,1
53,2,1,305.02,4,0
26,5,2,540.92,2,2
59,2,0,934.62,3,1
25,9,2,692.65,4,1
77,5,1,817.47,2,1
68,4,1,502.97,4,2
49,5,2,620.57,5,2
30,8,1,510.8,1,2
26,2,2,534.36,6,2
58,5,1,848.69,1,1
49,7,2,743.18,6,1
30,2,1,328.88,0,0
69,7,2,500.55,4,2
73,4,2,849.58,4,1
62,5,0,489.69,2,2
13,6,0,69.9,0,0
71,7,1,399.31,2,2
68,3,1,502.17,3,2
21,0,1,711.77,0,1
50,6,2,291.45,4,0
45,6,2,137.87,3,0
42,2,2,447.2,1,2
19,6,2,213.86,2,0
41,2,2,136.57,4,0
27,6,0,808.54,6,1
39,4,2,89.56,6,0
57,8,0,981.73,3,1
19,7,2,727.91,2,1
44,4,0,476.68,5,2
37,5,2,527.42,4,2
76,8,2,13.13,4,0
29,1,1,605.77,4,2
68,5,0,848.57,2,1
28,3,2,554.01,5,2
25,2,0,838.35,3,1
19,7,2,646.55,1,2
19,2,2,799.42,3,1
50,6,2,200.19,2,0
17,9,2,968.09,4,1
57,3,1,609.8,3,2
73,5,1,193.51,2,0
78,3,1,306.79,3,0
28,9,1,46.8,6,0
63,4,0,49.68,6,0
32,6,1,407.89,5,2
79,3,2,467.37,3,2
62,1,2,167.25,3,0
26,0,1,922.99,0,1
72,0,0,66.31,1,0
60,7,0,227.59,6,0
29,1,1,360.29,6,2
42,1,1,696.96,4,1
67,9,0,174.16,2,0
65,2,2,80.31,0,0
52,9,1,5.88,1,0
65,9,0,42.81,0,0
65,6,2,438.54,3,2
36,2,2,881.84,2,1
80,0,1,587.13,4,2
53,7,1,599.52,0,2
74,1,2,613.88,3,2
25,9,2,399.37,6,2
47,9,0,839.07,2,1
59,5,2,366.62,1,2
36,6,1,896.28,4,1
47,6,2,50.13,1,0
77,9,1,130.66,1,0
58,3,1,337.78,4,2
58,1,2,512.36,5,2
24,2,0,831.51,0,1
56,0,0,532.46,4,2
73,1,2,675.49,1,1
50,0,1,292.95,6,0
32,4,1,290.63,6,0
35,1,2,933.31,1,1
24,5,2,204.89,6,0
70,4,0,122.94,4,0
65,8,2,249.08,1,0
70,3,1,200.19,0,0
67,7,1,809.9,0,1
62,2,0,817.74,0,1
21,5,2,714.73,6,1
74,0,0,794.69,6,1
42,3,0,432.27,1,2
43,2,2,379.66,6,2
39,5,0,201.53,6,0
18,1,1,701.01,1,1
59,2,1,426.93,4,2
63,0,0,426.04,1,2
24,5,1,37.87,3,0
60,4,1,402.84,6,2
25,5,2,674.02,2,1
75,0,1,596.34,5,2
46,1,2,108.33,5,0
63,4,0,718.22,4,1
80,2,2,878.19,0,1
61,0,1,896.61,0,1
19,2,0,254.43,0,0
27,6,0,510.14,5,2
77,3,2,558.88,1,2
25,3,1,276.73,4,0
66,3,2,158.67,2,0
52,6,0,132.4,3,0
71,8,1,485.29,6,2
62,4,0,617.52,1,2
60,4,2,175.36,0,0
46,0,1,314.44,3,0
36,7,0,56.22,1,0
33,3,0,530.5,5,2
15,9,0,100.6,4,0
77,7,1,321.07,2,0
60,1,1,553.6,0,2
25,5,1,771.28,3,1
77,5,2,645.25,0,2
22,3,1,714.88,5,1
55,9,1,781.57,5,1
43,9,1,567.64,3,2
30,7,1,557.71,3,2
21,8,2,22.09,1,0
75,6,0,465.06,2,2
77,6,0,81.24,1,0
71,9,0,487.48,4,2
72,0,1,20.24,4,0
13,9,2,531.34,6,2
50,6,1,694.23,1,1
77,1,1,505.82,2,2
69,0,1,264.97,4,0
15,7,0,22.11,6,0
46,9,2,490.21,0,2
46,5,0,60.83,2,0
29,8,2,437.14,0,2
74,1,2,46.57,6,0
60,1,2,320.41,2,0
60,2,2,909.09,3,1
17,3,0,29.9,4,0
42,4,0,48.8,5,0
17,1,1,230.68,0,0
52,3,1,963.17,0,1
29,8,1,801.81,0,1
40,2,1,412.11,1,2
54,4,0,304.67,5,0
22,0,1,702.63,0,1
41,0,0,398.06,6,2
59,7,1,21.03,0,0
20,5,1,683.16,2,1
38,1,0,66.84,5,0
48,8,1,800.15,5,1
22,7,1,51.32,6,0
45,2,1,681.09,2,1
49,1,2,80.26,3,0
35,3,2,764.52,3,1
20,8,2,712.58,0,1
69,2,1,395.77,4,2
59,7,1,507.26,1,2
41,5,1,260.86,6,0
48,4,0,704.37,2,1
80,7,0,366.2,6,2
76,2,2,116.71,4,0
36,6,0,384.58,0,2
38,7,1,277.59,1,0
42,6,0,747.02,6,1
68,0,1,74.26,3,0
45,1,1,784.29,5,1
41,9,0,362.92,6,2
26,9,2,89.76,4,0
73,0,2,179.26,5,0
48,3,2,884.79,4,1
28,0,0,466.96,1,2
29,5,2,113.59,5,0
56,3,1,170.66,4,0
74,3,0,87.62,5,0
56,8,1,884.65,3,1
50,0,0,907.54,1,1
75,9,0,746.66,1,1
80,3,0,444.14,2,2
58,2,2,763.86,6,1
17,7,1,344.75,4,2
59,7,0,298.48,6,0
16,3,1,721.57,2,1
56,8,2,366.09,5,2
20,5,1,826.19,3,1
41,2,0,390.08,4,2
27,0,0,540.66,5,2
57,4,1,316.49,6,0
51,7,1,287.89,3,0
58,3,0,851.91,0,1
27,9,0,437.45,5,2
60,7,1,976.67,3,1
79,5,2,434.87,2,2
46,8,0,772.01,5,1
69,3,0,714.09,2,1
53,9,2,1.22,3,0
54,2,2,834.89,0,1
50,2,1,648.02,2,2
45,5,1,266.51,2,0
63,5,2,562.27,1,2
41,1,1,633.43,3,2
15,0,0,461.16,1,2
70,1,0,118.11,3,0
57,8,1,828.88,5,1
52,1,1,915.77,5,1
30,9,0,522.53,4,2
51,0,2,227.07,3,0
72,9,1,345.94,4,2
61,5,0,103.65,2,0
71,0,1,652.54,0,2
15,9,0,723.45,2,1
23,6,0,471.4,0,2
66,2,2,887.14,5,1
35,4,1,473.09,5,2
33,9,1,923.38,4,1
46,6,0,718.17,6,1
31,7,2,596.11,3,2
40,1,0,725.6,1,1
15,4,0,784.64,4,1
64,4,0,726.07,6,1
41,2,2,835.67,4,1
41,1,1,70.07,4,0
79,7,1,666.24,5,1
31,0,0,238.34,6,0
16,0,2,716.05,3,1
48,6,0,851.78,6,1
64,2,1,578.42,1,2
14,4,1,545.95,4,2
32,0,1,825.28,6,1
38,4,0,157.91,5,0
38,2,1,63.12,6,0
75,7,1,293.87,3,0
55,5,0,302.55,6,0
27,3,0,98.76,6,0
53,8,2,16.15,0,0
72,2,0,807.02,5,1
33,8,0,862.55,3,1
33,5,1,372.85,4,2
38,9,0,21.72,6,0
35,3,1,586.98,3,2
69,0,1,168.42,5,0
46,9,2,108.96,6,0
76,8,1,830.37,3,1
38,4,2,697.56,6,1
27,9,2,772.05,4,1
75,8,2,757.05,3,1
13,6,1,174.15,3,0
44,2,2,665.29,1,2
74,7,2,920.57,5,1
26,8,0,106.69,3,0
67,1,0,181.08,5,0
27,9,0,964.06,6,1
78,5,1,659.74,1,2
56,3,1,906.98,2,1
32,1,0,241.39,0,0
40,6,0,634.91,5,2
57,3,0,314.92,0,0
61,8,2,743.88,3,1
31,4,0,549.97,1,2
51,2,2,909.64,2,1
63,9,1,567.98,4,2
59,2,2,304.56,3,0
41,6,1,15.8,2,0
59,1,1,805.71,0,1
41,8,1,521.58,6,2
52,7,1,599.62,5,2
17,1,2,686.79,1,1
49,8,2,780.3,1,1
16,3,0,228.26,4,0
76,1,0,529.03,0,2
67,9,1,55.17,4,0
35,6,0,487.68,2,2
65,2,0,407.44,1,2
57,3,1,369.32,1,2
62,9,0,500.64,2,2
56,9,0,706.13,3,1
21,3,1,388.83,6,2
76,1,0,46.63,4,0
41,4,0,899.93,2,1
53,2,2,226.35,5,0
60,7,1,387.08,1,2
32,0,0,453.27,3,2
50,2,0,818.29,5,1
21,0,2,878.45,6,1
64,4,1,950.19,1,1
27,0,0,706.96,2,1
17,7,2,146.53,4,0
66,2,2,230.73,4,0
30,1,0,413.24,0,2
55,1,1,821.55,1,1
29,7,0,127.95,5,0
25,5,2,521.06,3,2
51,4,1,406.5,0,2
38,0,1,492.12,2,2
33,7,1,825.86,4,1
37,2,0,829.68,0,1
28,6,0,968.84,4,1
54,7,2,846.67,3,1
42,9,1,721.5,5,1
73,5,2,610.05,5,2
30,6,1,783.62,0,1
29,3,2,16.22,0,0
19,8,2,739.78,5,1
16,7,0,921.52,0,1
40,3,1,994.16,6,1
53,5,2,270.23,1,0
62,6,2,440.81,6,2
37,7,2,161.47,3,0
69,6,0,361.49,0,2
33,2,1,13.23,3,0
51,3,0,746.51,6,1
16,0,2,449.53,6,2
62,3,0,790.67,6,1
67,5,1,40.91,0,0
50,0,1,236.52,2,0
66,3,2,513.17,2,2
76,0,1,814.32,3,1
80,7,0,624.8,2,2
17,1,1,71.47,1,0
76,3,2,517.14,1,2
31,4,0,136.6,1,0
70,1,2,199.46,6,0
26,9,1,818.58,2,1
47,0,0,190.48,1,0
43,2,2,942.69,4,1
58,5,2,75.01,1,0
76,3,2,150.63,4,0
75,8,0,763.35,3,1
58,7,1,904.6,3,1
48,3,1,921.61,1,1
58,2,2,807.17,5,1
15,4,1,998.67,4,1
25,2,1,999.36,1,1
41,2,2,78.41,6,0
20,1,2,595.49,0,2
43,4,0,358.71,1,2
33,3,1,755.87,2,1
67,5,0,303.37,3,0
48,7,0,61.54,4,0
42,3,1,6.73,1,0
29,7,1,898.09,4,1
58,4,1,265.4,5,0
78,3,0,307.25,5,0
29,8,2,511.72,2,2
40,6,0,494.57,0,2
21,4,2,152.29,3,0
14,0,1,291.99,3,0
25,5,0,745.79,3,1
26,4,0,242.82,0,0
59,0,0,883.28,0,1
16,0,1,769.51,2,1
68,0,1,68.87,3,0
16,9,0,50.39,2,0
71,5,1,936.77,3,1
43,5,0,943.9,1,1
77,8,2,754.19,0,1
59,0,2,782.58,4,1
32,2,2,320.9,4,0
69,5,2,592.75,5,2
75,6,1,479.86,6,2
44,5,0,725.58,3,1
67,2,1,579.6,5,2
36,8,1,462.04,6,2
61,1,2,873.7,5,1
48,0,0,610.94,6,2
79,7,1,591.85,0,2
74,7,1,930.89,0,1
72,7,0,257.65,2,0
55,3,1,373.04,1,2
18,8,2,260.78,3,0
18,6,1,640.85,1,2
74,3,0,719.14,3,1
40,2,1,911.63,3,1
52,6,2,985.67,4,1
44,5,0,811.71,6,1
72,3,0,908.61,6,1
55,7,1,334.79,4,2
52,1,0,140.05,1,0
40,8,0,234.8,3,0
48,7,2,384.44,4,2
58,8,1,963.15,3,1
15,3,1,280.13,0,0
16,0,0,131.32,1,0
71,3,0,453.34,4,2
65,5,2,875.12,1,1
73,2,2,118.14,0,0
26,1,0,136.02,4,0
49,9,2,219.56,4,0
71,1,1,319.08,6,0
13,8,0,447.69,1,2
51,3,1,543.57,4,2
39,8,0,28.05,2,0
66,2,2,987.91,3,1
74,9,2,687.73,3,1
55,1,1,356.47,3,2
52,9,0,964.67,5,1
15,4,2,675.5,0,1
55,5,2,422.31,2,2
67,4,0,818.74,5,1
43,8,1,271.38,0,0
67,4,2,337.48,1,2
45,4,0,142.62,5,0
35,3,2,31.65,3,0
69,1,1,603.13,4,2
37,8,2,78.21,0,0
51,3,1,437.62,2,2
16,3,2,774.81,5,1
39,0,2,440.97,0,2
50,3,2,354.78,5,2
39,9,0,442.25,2,2
21,6,0,441.23,6,2
20,1,2,374.53,6,2
